city,date,fare,ride_id
Royland,19-04-19 0:05,25.4,9.85E+12
Rodneyfort,08-02-19 7:35,30.02,2.50E+12
East Kaylahaven,17-01-19 10:15,40.82,6.34E+12
West Christopherberg,17-01-19 14:30,9.04,5.15E+12
New Jacobville,15-01-19 15:27,27.24,3.81E+12
Lake Jonathanshire,02-01-19 14:14,13.89,4.24E+11
Port Samanthamouth,25-04-19 9:50,25.5,1.17E+12
West Heidi,26-03-19 9:45,22.33,8.26E+11
Karenside,14-04-19 5:11,13.13,3.66E+12
Valentineton,01-02-19 14:11,9.68,2.13E+12
Raymondhaven,23-02-19 11:13,4.24,2.94E+11
Carriemouth,11-03-19 21:35,16.78,1.52E+12
West Josephberg,16-01-19 16:17,7.04,2.51E+12
Port Samanthamouth,01-03-19 8:58,43.25,1.39E+12
Karenberg,30-03-19 11:38,24.64,4.54E+12
New Paulton,10-03-19 1:07,28,1.07E+12
Joneschester,07-02-19 18:36,6.34,2.61E+12
North Jasmine,08-02-19 19:03,4.86,1.28E+12
Valentineton,27-02-19 0:40,25.4,6.15E+12
New Paulton,20-02-19 16:59,24.29,7.74E+12
South Evanton,28-04-19 8:15,22.86,7.59E+12
North Jasmine,22-01-19 17:25,31.68,7.12E+11
West Anthony,17-03-19 0:30,35.42,4.56E+12
Jerryton,29-04-19 2:49,41.27,9.03E+11
Grahamburgh,09-01-19 7:00,13.55,5.46E+12
South Jack,30-03-19 20:21,4.2,4.82E+12
West Christopherberg,23-01-19 21:23,30.93,5.34E+12
Lake Scottton,26-03-19 0:49,9.79,1.83E+12
West Patrickchester,14-01-19 1:15,24.82,5.93E+12
Royland,17-01-19 14:08,27.92,3.15E+12
South Karenland,14-02-19 14:00,39.53,2.86E+12
Erikaland,27-03-19 13:11,36.52,2.20E+12
Rodneyfort,20-03-19 10:40,42.57,6.35E+12
Williamsstad,01-05-19 1:26,26.81,4.54E+12
Richardfort,13-02-19 12:46,14,9.10E+11
West Ericstad,25-01-19 12:29,20.03,3.28E+12
Grahamburgh,05-03-19 5:39,4.33,8.04E+11
North Barbara,04-05-19 2:33,24.09,9.28E+12
West Robert,04-01-19 6:10,35.35,9.55E+12
Justinberg,14-03-19 10:46,36.32,6.77E+12
South Michelleport,03-03-19 16:13,41.62,2.34E+12
North Jasmine,22-02-19 1:56,25.33,1.32E+12
Barajasview,01-03-19 11:06,28.25,7.23E+12
Carriemouth,04-04-19 13:22,12.91,4.28E+12
Amandaburgh,24-02-19 23:10,43.66,6.57E+12
Johnton,27-03-19 0:10,18.89,3.63E+12
Port Angela,04-03-19 3:26,40.35,4.93E+12
Rodneyfort,06-05-19 22:21,27.16,3.77E+12
Amandaburgh,10-02-19 20:42,36.17,6.46E+12
North Madeline,25-02-19 4:32,13.58,4.93E+12
West Angela,01-03-19 11:13,30.3,9.67E+12
Joneschester,03-01-19 5:45,25.47,5.54E+12
Joneschester,03-01-19 1:03,17.97,5.44E+12
South Phillip,29-01-19 11:26,35.23,7.42E+12
Liumouth,30-03-19 3:13,4.66,3.16E+12
West Anthony,10-01-19 2:31,32.34,1.48E+12
North Jason,26-02-19 11:57,13.88,2.49E+12
North Jason,21-03-19 9:45,10.42,6.60E+12
Carriemouth,28-04-19 14:28,11.46,6.99E+12
Huntermouth,04-05-19 15:20,36.77,7.19E+12
South Phillip,18-04-19 6:03,39.95,9.72E+12
South Jack,01-02-19 22:32,28.37,3.37E+12
Port Johnbury,05-05-19 6:26,25.3,2.54E+12
South Phillip,06-05-19 5:05,43.43,2.44E+12
North Jasmine,10-04-19 11:45,38.24,2.96E+12
South Michelleport,27-01-19 19:38,15.45,7.47E+12
North Madeline,07-04-19 8:54,32.99,1.82E+12
Christopherfurt,24-02-19 2:56,40.33,9.58E+12
Williamsstad,23-02-19 17:42,4.68,9.11E+12
Martinezhaven,18-04-19 1:40,34.7,2.02E+12
Simpsonburgh,03-04-19 8:47,4.74,8.56E+12
New Jacobville,04-02-19 4:57,27.63,4.33E+12
South Karenland,12-02-19 3:42,5.78,8.89E+12
Royland,27-01-19 1:01,24.56,9.66E+12
Karenside,22-01-19 13:11,24.72,5.33E+12
West Robert,05-05-19 5:18,10.15,9.39E+12
Port Samanthamouth,27-04-19 8:48,12.84,5.66E+12
West Samuelburgh,07-03-19 1:51,14.55,7.16E+12
New Kimberlyborough,29-03-19 20:35,42.51,8.30E+12
Port David,27-03-19 11:56,15.64,5.34E+12
Karenside,18-03-19 12:48,36.96,7.61E+12
New Paulton,08-02-19 17:11,39.65,8.51E+12
West Ericstad,08-01-19 9:03,32.99,6.69E+12
Port Johnbury,21-03-19 2:20,32.8,5.45E+12
Port Samanthamouth,27-03-19 0:31,16.05,1.41E+12
Port Frank,08-01-19 23:51,42.13,2.10E+12
Lake Jonathanshire,06-04-19 11:30,16.84,6.16E+12
West Angela,05-02-19 18:53,36.37,7.83E+12
Port Samanthamouth,27-03-19 1:08,21.46,9.99E+12
North Madeline,04-03-19 17:20,21.38,9.54E+12
Williamsview,15-01-19 0:10,44.33,4.63E+12
Grahamburgh,21-02-19 6:55,22.65,8.16E+11
South Evanton,06-03-19 3:56,30.87,5.81E+12
Loganberg,27-03-19 13:32,4.72,6.12E+12
Carriemouth,21-02-19 16:38,44.18,4.53E+12
Port David,02-01-19 11:51,7.45,6.15E+12
West Heidi,30-01-19 12:59,30.84,8.94E+12
Williamsstad,05-03-19 2:33,25.02,1.31E+12
North Barbara,04-02-19 8:12,42.59,4.97E+12
Lake Danielberg,17-03-19 19:23,10.18,4.71E+12
North Markport,13-04-19 7:37,20.09,4.31E+12
Port Angela,02-05-19 4:14,35.76,7.95E+12
Port Samanthamouth,15-03-19 15:08,25.97,7.73E+12
West Angela,03-05-19 9:04,24.07,7.81E+12
Leahton,21-02-19 20:37,24.13,6.76E+12
North Markport,28-04-19 4:34,40.46,2.57E+12
Karenside,09-03-19 3:50,40.86,1.76E+12
Jerryton,07-01-19 12:05,7.86,7.07E+11
South Michelleport,14-04-19 1:20,37.93,1.53E+12
Valentineton,25-03-19 20:45,22.53,2.34E+12
East Kaylahaven,09-04-19 16:57,10.03,8.04E+12
Erikaland,13-04-19 12:26,25.22,4.85E+12
West Christopherberg,08-01-19 8:25,37.78,8.77E+12
Pattyland,01-02-19 22:43,32.03,2.85E+12
Deanville,08-02-19 23:33,21.22,4.79E+12
West Christopherberg,21-03-19 0:14,43.87,5.09E+12
Justinberg,23-03-19 6:28,30.58,3.50E+12
Lake Danielberg,24-02-19 19:34,34.82,2.44E+12
Port Samanthamouth,30-01-19 1:19,38.78,6.12E+12
Lake Danielberg,28-02-19 15:08,44.96,6.32E+12
Deanville,15-04-19 1:36,24.3,1.07E+12
Pattyland,15-02-19 15:13,44.03,1.56E+12
Karenside,27-01-19 8:52,7.65,4.73E+11
Port Angela,22-04-19 16:43,7.91,6.77E+12
West Angela,14-04-19 18:40,32.77,5.00E+12
South Karenland,26-03-19 6:12,35.5,1.48E+12
New Jacobville,18-02-19 21:09,39.97,8.03E+12
Roberthaven,14-03-19 16:12,36.84,4.12E+12
Lake Scottton,24-04-19 11:54,5.31,9.67E+12
Amandaburgh,11-01-19 2:22,29.24,7.28E+12
Reynoldsfurt,05-05-19 17:38,14.95,1.40E+12
West Patrickchester,09-02-19 5:54,16.1,9.11E+12
Christopherfurt,13-04-19 8:29,37.22,3.29E+12
South Evanton,27-04-19 0:58,27.78,9.38E+12
Lake Scottton,07-02-19 5:08,10.76,4.20E+12
Roberthaven,14-03-19 15:24,35.27,4.03E+12
Rodneyfort,04-03-19 15:13,28.69,2.76E+11
West Josephberg,17-02-19 6:28,41.49,2.82E+12
Lake Jonathanshire,21-03-19 0:18,37.95,8.35E+12
Simpsonburgh,05-02-19 16:02,25.58,2.04E+12
West Heidi,19-03-19 3:15,5.65,2.47E+12
North Barbara,23-03-19 20:59,23.76,5.55E+12
North Jasmine,11-03-19 21:03,37.93,4.22E+12
West Gabriel,29-04-19 1:22,36.7,4.10E+12
Liumouth,14-04-19 6:43,31.63,6.17E+12
Carriemouth,02-03-19 15:40,28.04,5.14E+12
West Robert,24-03-19 15:21,34.9,9.47E+12
North Jasmine,02-05-19 10:24,29.86,3.20E+12
Carriemouth,21-03-19 15:40,44.64,9.56E+12
Lake Scottton,15-02-19 6:49,22.75,8.38E+12
North Madeline,12-04-19 13:57,7.77,9.27E+12
Lake Danielberg,07-01-19 9:41,17.39,4.36E+12
North Madeline,30-04-19 16:02,37.48,2.51E+12
Port David,07-01-19 20:03,20.49,5.85E+12
Royland,11-02-19 3:46,30.41,7.20E+12
West Samuelburgh,20-02-19 1:05,19.65,6.62E+12
West Angela,18-03-19 12:08,34.05,5.33E+12
West Patrickchester,06-03-19 4:19,32.37,3.68E+12
Port Frank,05-02-19 10:34,20.1,4.44E+12
New Kimberlyborough,09-02-19 5:48,39.55,6.01E+12
Justinberg,20-04-19 7:37,29.07,2.10E+11
West Angela,18-04-19 12:07,16.18,5.77E+12
Justinberg,10-03-19 9:19,37.89,5.56E+12
Valentineton,10-01-19 17:29,19.91,7.75E+11
Williamsview,07-04-19 0:32,18.92,23948941587
South Jack,31-01-19 2:51,21.75,6.97E+12
Port Frank,18-02-19 18:49,39.06,7.30E+12
Leahton,13-02-19 11:40,16.79,4.74E+12
South Michelleport,22-02-19 7:44,22.52,8.52E+12
South Karenland,25-04-19 14:44,24.86,1.31E+12
Richardfort,16-02-19 13:52,17.92,8.21E+11
Williamsstad,16-04-19 23:07,23.12,9.69E+11
South Michelleport,12-02-19 7:41,27.7,5.58E+12
West Patrickchester,13-04-19 19:49,33.33,1.83E+12
Martinezhaven,18-04-19 18:37,5.81,2.12E+12
North Jason,23-01-19 22:51,21.95,6.70E+12
North Jason,18-04-19 12:19,22.42,4.93E+12
Lake Scottton,03-05-19 22:33,9.01,1.29E+12
West Christopherberg,01-03-19 21:33,11.97,6.42E+12
North Markport,10-04-19 22:15,38.02,8.83E+12
Christopherfurt,09-04-19 0:32,29.96,9.83E+12
North Madeline,29-01-19 16:12,17.57,2.60E+12
Richardfort,01-02-19 20:18,10.26,9.55E+12
South Phillip,25-01-19 5:04,38.15,3.60E+12
East Kaylahaven,11-02-19 0:24,43.19,8.67E+12
Rodneyfort,11-04-19 2:57,36.3,9.05E+12
Pattyland,26-04-19 8:31,19.99,8.83E+12
South Karenland,24-03-19 23:37,41.44,6.05E+11
Port David,24-03-19 21:58,28.84,5.27E+12
Rodneyfort,10-03-19 5:23,29.13,4.63E+12
New Paulton,02-02-19 16:37,17.19,8.50E+12
Williamsstad,12-03-19 1:39,18.67,2.16E+12
South Michelleport,29-01-19 20:40,9.79,5.53E+12
West Christopherberg,21-03-19 2:57,21.41,7.70E+12
Lake Scottton,25-03-19 21:46,36.92,7.04E+12
Port Angela,19-03-19 12:32,17.21,1.69E+12
Christopherfurt,17-04-19 22:12,32.39,6.54E+11
Joneschester,27-02-19 8:19,33.34,2.39E+12
Loganberg,25-01-19 1:59,26.03,9.12E+12
South Phillip,19-02-19 13:19,33.07,8.52E+12
Deanville,23-01-19 13:00,42.45,7.29E+12
New Kimberlyborough,30-01-19 21:46,29.09,8.59E+12
Port Johnbury,11-04-19 10:26,9.1,7.80E+12
West Patrickchester,19-04-19 3:26,44.5,8.64E+12
West Robert,11-01-19 11:10,5.16,1.59E+12
New Paulton,28-03-19 3:35,14.94,3.70E+12
South Latoya,19-03-19 16:19,31.72,3.64E+11
Robertport,18-02-19 15:01,43.47,8.00E+12
Valentineton,19-01-19 19:40,6.71,9.05E+12
South Latoya,18-01-19 20:09,10.98,7.14E+12
Simpsonburgh,12-01-19 4:35,24.83,3.15E+12
West Patrickchester,12-02-19 16:33,22.64,4.55E+12
Richardfort,17-04-19 2:26,23,7.20E+11
Hurleymouth,20-02-19 10:47,17.07,7.02E+12
Leahton,27-01-19 8:09,29.36,2.92E+12
West Anthony,29-04-19 1:12,27.04,4.38E+12
New Kimberlyborough,05-01-19 9:33,39.47,2.81E+12
South Latoya,19-03-19 22:03,40.29,6.60E+11
Williamsstad,12-04-19 12:30,17.57,7.10E+12
South Karenland,01-02-19 19:45,31.64,9.38E+12
North Jason,16-04-19 15:23,24.07,9.73E+12
West Angela,27-01-19 9:35,9.24,2.62E+12
Lake Danielberg,08-02-19 5:58,10.31,2.46E+12
Port Samanthamouth,06-04-19 13:42,24.18,8.48E+12
New Jacobville,09-02-19 2:25,37.51,5.69E+12
New Kimberlyborough,10-03-19 13:55,10.83,1.56E+12
New Kimberlyborough,08-01-19 18:59,13.34,6.27E+11
Karenberg,05-03-19 1:38,44.1,9.23E+12
South Phillip,11-04-19 10:09,21.06,4.83E+12
Loganberg,20-01-19 1:34,38.66,7.24E+12
Carriemouth,01-05-19 4:53,10.97,8.79E+12
West Patrickchester,21-01-19 14:48,19.44,2.09E+12
Martinezhaven,07-02-19 21:45,4.31,9.33E+12
Karenside,08-01-19 8:49,22.64,2.41E+12
North Jason,24-03-19 7:40,32.72,7.96E+12
Lake Danielberg,28-03-19 9:56,28.53,9.81E+12
Pattyland,03-04-19 3:29,14.06,5.40E+12
Pattyland,21-02-19 17:53,7.06,5.81E+12
Loganberg,11-01-19 4:27,44.34,1.38E+12
Leahton,28-02-19 13:10,9.08,8.20E+12
Reynoldsfurt,17-01-19 21:35,24.84,5.00E+12
Raymondhaven,22-02-19 23:54,7.64,7.31E+12
South Latoya,12-02-19 22:59,5.54,8.40E+11
Lake Scottton,18-01-19 2:32,31.92,5.71E+12
Port David,24-02-19 22:20,35.63,3.35E+12
Roberthaven,05-04-19 14:01,31.09,1.02E+12
Rogerston,24-03-19 2:56,39.6,9.20E+12
Karenberg,27-04-19 14:57,44.73,3.80E+12
Martinezhaven,14-04-19 16:26,32.57,9.71E+11
South Evanton,20-01-19 23:10,25.94,3.43E+12
North Jasmine,26-04-19 12:08,35.33,6.86E+12
Hurleymouth,12-01-19 1:19,10.64,8.13E+12
West Robert,07-03-19 15:57,12.22,2.71E+12
Deanville,21-04-19 23:32,33.37,7.76E+12
South Michelleport,09-01-19 1:48,10.68,3.24E+12
Royland,02-02-19 12:51,42.52,7.84E+12
Rodneyfort,10-04-19 23:38,25.4,9.06E+12
North Madeline,12-01-19 9:42,20.82,8.11E+12
Lake Danielberg,28-04-19 4:00,39.82,7.89E+12
Port Johnbury,02-05-19 12:46,42.42,3.25E+12
Richardfort,21-04-19 3:44,9.54,3.70E+12
Liumouth,22-03-19 4:06,33.1,3.68E+12
Roberthaven,21-01-19 19:25,23.14,4.94E+12
Amandaburgh,21-01-19 4:12,9.26,5.53E+12
South Evanton,25-04-19 0:37,26.84,1.54E+12
Port Samanthamouth,25-03-19 13:20,34.94,8.22E+11
South Michelleport,13-03-19 4:21,10.44,5.68E+12
North Madeline,14-01-19 3:43,31.88,8.71E+12
Hurleymouth,17-03-19 6:50,29.95,5.23E+12
Port David,10-04-19 14:27,26.68,5.36E+12
Pattyland,10-02-19 2:55,24.39,7.26E+12
Liumouth,17-03-19 19:21,19.05,9.12E+12
Robertport,03-04-19 1:20,15.14,6.67E+12
Hurleymouth,01-04-19 6:26,9.94,4.06E+12
West Samuelburgh,17-04-19 11:25,15.03,4.02E+12
South Phillip,18-03-19 4:11,17.57,8.43E+12
West Josephberg,29-01-19 2:13,7.58,6.14E+12
Roberthaven,16-02-19 10:23,14.95,6.65E+12
West Christopherberg,27-03-19 23:57,21.55,2.20E+12
Christopherfurt,30-03-19 13:15,31.3,7.46E+12
Hurleymouth,01-02-19 3:23,22.39,6.07E+12
Port Frank,16-03-19 20:54,30.24,1.45E+12
Lake Danielberg,16-01-19 11:59,20.07,8.45E+12
West Ericstad,28-03-19 13:29,22.28,3.14E+12
Karenside,11-03-19 16:18,44.29,3.27E+12
South Evanton,17-03-19 0:31,36.31,2.78E+12
West Heidi,05-05-19 15:47,37.75,3.65E+12
Robertport,28-02-19 22:50,13.39,6.81E+11
South Jack,05-01-19 11:31,13.14,6.81E+12
West Josephberg,28-02-19 18:19,11.1,3.53E+12
Port Frank,26-03-19 19:09,28.83,8.90E+11
Barajasview,19-02-19 2:25,26.83,9.37E+11
Justinberg,03-01-19 22:50,5.81,9.26E+12
North Barbara,17-04-19 2:49,39.18,3.50E+12
West Angela,08-03-19 13:24,4.92,5.45E+12
South Latoya,19-03-19 7:54,30.03,9.56E+12
Hurleymouth,18-01-19 10:59,4.66,8.62E+12
Johnton,05-04-19 7:12,22.87,1.03E+12
Carriemouth,27-03-19 2:11,38.69,4.41E+12
Reynoldsfurt,19-04-19 0:56,13.63,7.99E+12
Christopherfurt,16-03-19 19:46,19.61,2.29E+12
Liumouth,28-04-19 0:26,5.42,8.03E+12
New Kimberlyborough,19-03-19 7:17,15.78,6.41E+12
Martinezhaven,07-03-19 12:26,23.55,7.39E+12
East Kaylahaven,06-04-19 16:17,35.79,8.93E+12
Simpsonburgh,26-04-19 9:31,33.71,2.60E+12
Lake Jonathanshire,28-01-19 0:07,5.67,9.76E+12
Robertport,19-04-19 19:45,39.57,3.97E+12
South Karenland,20-03-19 10:34,33.24,3.10E+12
Raymondhaven,07-03-19 20:59,17.66,9.26E+12
Port David,18-02-19 14:47,20.16,1.85E+12
Royland,20-02-19 19:14,38.28,3.62E+12
